Bourg-en-Bresse; 43454; 
Laon; 26031; 
Saint-Quentin; 55940; 
Soissons; 29417; 
Montluçon; 37417; 
Gap; 42567; 
Antibes; 74982; 
Cagnes-sur-Mer; 50385; 
Cannes; 75046; 
Le Cannet; 42056; 
Grasse; 51705; 
Menton; 28942; 
Nice; 345998; 
Saint-Laurent-du-Var; 28831; 
Vallauris; 26787; 
Charleville-Mézières; 48420; 
Troyes; 61988; 
Carcassonne; 47418; 
Narbonne; 55001; 
Rodez; 25747; 
Aix-en-Provence; 146385; 
Arles; 53807; 
Aubagne; 45711; 
La Ciotat; 35758; 
Istres; 44248; 
Marignane; 33949; 
Marseille; 870018; 
Martigues; 49310; 
Miramas; 26217; 
Salon-de-Provence; 46225; 
Vitrolles; 34301; 
Caen; 108461; 
Aurillac; 27659; 
Angoulême; 44629; 
La Rochelle; 78623; 
Saintes; 26890; 
Bourges; 67841; 
Vierzon; 27036; 
Brive-la-Gaillarde; 48333; 
Ajaccio; 70063; 
Bastia; 45596; 
Dijon; 159031; 
Saint-Brieuc; 47058; 
Bergerac; 28166; 
Périgueux; 31505; 
Besançon; 120107; 
Montbéliard; 26015; 
Montélimar; 39924; 
Romans-sur-Isère; 34095; 
Valence; 64322; 
Évreux; 51560; 
Chartres; 40195; 
Dreux; 31575; 
Brest; 142629; 
Quimper; 66743; 
Alès; 41129; 
Nîmes; 154196; 
Colomiers; 39200; 
Muret; 25961; 
Toulouse; 482738; 
Tournefeuille; 27008; 
Bègles; 28092; 
Bordeaux; 256045; 
Gradignan; 26029; 
Libourne; 25491; 
Mérignac; 71203; 
Pessac; 62737; 
Saint-Médard-en-Jalles; 31576; 
Talence; 44040; 
La Teste-de-Buch; 26525; 
Villenave-d'Ornon; 33091; 
Agde; 28120; 
Béziers; 77894; 
Lunel; 26263; 
Montpellier; 286098; 
Sète; 44271; 
Rennes; 222104; 
Saint-Malo; 47528; 
Châteauroux; 45780; 
Joué-lès-Tours; 37974; 
Tours; 139963; 
Bourgoin-Jallieu; 28399; 
Échirolles; 36143; 
Grenoble; 160836; 
Saint-Martin-d'Hères; 38974; 
Vienne; 30178; 
Mont-de-Marsan; 31517; 
Blois; 47524; 
Roanne; 35913; 
Saint-Chamond; 35969; 
Saint-Étienne; 174298; 
Nantes; 314611; 
Orvault; 26618; 
Rezé; 41808; 
Saint-Herblain; 47502; 
Saint-Nazaire; 72295; 
Saint-Sébastien-sur-Loire; 27591; 
Orléans; 118102; 
Agen; 34565; 
Angers; 155543; 
Cholet; 55772; 
Saumur; 28554; 
Sèvremoine; 26239; 
Cherbourg-en-Cotentin; 82578; 
Châlons-en-Champagne; 46288; 
Reims; 187074; 
Saint-Dizier; 25666; 
Laval; 52359; 
Nancy; 106953; 
Vandœuvre-lès-Nancy; 30502; 
Lorient; 58789; 
Vannes; 55573; 
Metz; 119856; 
Thionville; 41396; 
Nevers; 34799; 
Armentières; 25373; 
Cambrai; 33349; 
Douai; 40860; 
Dunkerque; 89485; 
Lambersart; 28027; 
Lille; 236782; 
Marcq-en-Barœul; 39697; 
Maubeuge; 29995; 
Roubaix; 96953; 
Tourcoing; 98170; 
Valenciennes; 44509; 
Villeneuve-d'Ascq; 63085; 
Wattrelos; 41570; 
Beauvais; 57548; 
Compiègne; 41660; 
Creil; 36091; 
Alençon; 27221; 
Arras; 41973; 
Béthune; 25753; 
Boulogne-sur-Mer; 42293; 
Calais; 75719; 
Hénin-Beaumont; 26260; 
Lens; 31080; 
Liévin; 31337; 
Clermont-Ferrand; 146112; 
Anglet; 39995; 
Bayonne; 51943; 
Biarritz; 25518; 
Pau; 79022; 
Tarbes; 41862; 
Perpignan; 123602; 
Haguenau; 35024; 
Illkirch-Graffenstaden; 27505; 
Schiltigheim; 32024; 
Strasbourg; 283515; 
Colmar; 71445; 
Mulhouse; 110468; 
Bron; 41589; 
Caluire-et-Cuire; 43546; 
Décines-Charpieu; 28249; 
Lyon 1er Arrondissement; 30423; 
Lyon 2e Arrondissement; 30857; 
Lyon 3e Arrondissement; 103506; 
Lyon 4e Arrondissement; 36524; 
Lyon 5e Arrondissement; 49998; 
Lyon 6e Arrondissement; 52282; 
Lyon 7e Arrondissement; 82651; 
Lyon 8e Arrondissement; 85610; 
Lyon 9e Arrondissement; 51313; 
Meyzieu; 33351; 
Oullins; 26838; 
Rillieux-la-Pape; 30275; 
Saint-Priest; 46153; 
Vaulx-en-Velin; 48906; 
Vénissieux; 65822; 
Villefranche-sur-Saône; 37783; 
Villeurbanne; 150375; 
Chalon-sur-Saône; 47085; 
Mâcon; 34448; 
Le Mans; 146804; 
Aix-les-Bains; 30377; 
Chambéry; 60872; 
Annecy; 130257; 
Annemasse; 35461; 
Thonon-les-Bains; 36296; 
Paris; 2210875; 
Dieppe; 30588; 
Le Grand-Quevilly; 26175; 
Le Havre; 172769; 
Rouen; 112596; 
Saint-Étienne-du-Rouvray; 29180; 
Sotteville-lès-Rouen; 29766; 
Bussy-Saint-Georges; 27299; 
Chelles; 54682; 
Meaux; 56249; 
Melun; 41183; 
Pontault-Combault; 38587; 
Savigny-le-Temple; 30352; 
Villeparisis; 26507; 
Chatou; 31653; 
Le Chesnay; 28558; 
Conflans-Sainte-Honorine; 36058; 
Élancourt; 25829; 
Guyancourt; 28839; 
Houilles; 32064; 
Mantes-la-Jolie; 44231; 
Montigny-le-Bretonneux; 33535; 
Les Mureaux; 32777; 
Plaisir; 32128; 
Poissy; 37524; 
Rambouillet; 26781; 
Saint-Germain-en-Laye; 41749; 
Sartrouville; 53237; 
Trappes; 32931; 
Versailles; 87315; 
Niort; 61044; 
Amiens; 136998; 
Albi; 51151; 
Castres; 42923; 
Montauban; 61978; 
Draguignan; 40928; 
Fréjus; 54023; 
La Garde; 25645; 
Hyères; 56799; 
Saint-Raphaël; 35826; 
La Seyne-sur-Mer; 65386; 
Six-Fours-les-Plages; 33904; 
Toulon; 171643; 
Avignon; 94200; 
Carpentras; 29498; 
Cavaillon; 26985; 
Orange; 29856; 
La Roche-sur-Yon; 56991; 
Châtellerault; 32887; 
Poitiers; 90590; 
Limoges; 135140; 
Épinal; 33454; 
Auxerre; 36804; 
Sens; 26688; 
Belfort; 49926; 
Athis-Mons; 34065; 
Brétigny-sur-Orge; 26702; 
Brunoy; 26520; 
Corbeil-Essonnes; 51682; 
Draveil; 29558; 
Évry; 55425; 
Grigny; 29118; 
Massy; 50549; 
Palaiseau; 34954; 
Ris-Orangis; 29040; 
Sainte-Geneviève-des-Bois; 36219; 
Savigny-sur-Orge; 36677; 
Les Ulis; 25031; 
Vigneux-sur-Seine; 31488; 
Viry-Châtillon; 30962; 
Yerres; 29132; 
Antony; 62989; 
Asnières-sur-Seine; 86678; 
Bagneux; 39977; 
Bois-Colombes; 28607; 
Boulogne-Billancourt; 120943; 
Châtenay-Malabry; 33413; 
Châtillon; 37132; 
Clamart; 53099; 
Clichy; 60746; 
Colombes; 86050; 
Courbevoie; 82351; 
La Garenne-Colombes; 29503; 
Gennevilliers; 46939; 
Issy-les-Moulineaux; 69231; 
Levallois-Perret; 64028; 
Malakoff; 30286; 
Meudon; 46014; 
Montrouge; 49372; 
Nanterre; 96321; 
Neuilly-sur-Seine; 61501; 
Le Plessis-Robinson; 29192; 
